SeniorCitizen,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_scaled,MonthlyCharges_scaled,TotalCharges_scaled,Churn
1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48936170212765956,-0.4027906976744188,0.34530736149759683,0
0,1.0,0.0,0.0,-5.551115123125783e-17,0.0,0.9999999999999999,0.0,0.9999999999999999,0.0,5.551115123125783e-17,0.9999999999999999,-5.551115123125783e-17,-5.551115123125783e-17,0.9999999999999999,0.0,-5.551115123125783e-17,0.9999999999999999,0.0,-5.551115123125783e-17,0.9999999999999999,0.0,-5.551115123125783e-17,0.9999999999999999,0.0,-5.551115123125783e-17,2.7755575615628914e-17,1.0,0.0,-2.7755575615628914e-17,5.551115123125783e-17,1.0,0.3500967117988394,-0.9396828752642707,-0.1413385352761256,0
0,1.0,1.3877787807814457e-17,5.551115123125783e-17,0.0,0.9999999999999999,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.551115123125783e-17,1.0,0.0,5.551115123125783e-17,1.0,0.0,5.551115123125783e-17,1.0,0.0,5.551115123125783e-17,0.9999999999999999,2.7755575615628914e-17,0.0,0.0,5.551115123125783e-17,0.9999999999999999,-5.551115123125783e-17,-0.2765957446808511,-0.005980066445182758,-0.07889763545185335,0
0,5.551115123125783e-17,0.0,0.9999999999999998,0.0,1.0,0.0,0.0,0.0,1.0,5.551115123125783e-17,0.0,1.0,-5.551115123125783e-17,0.0,1.0,-5.551115123125783e-17,0.0,1.0,5.551115123125783e-17,0.0,1.0,0.0,0.0,1.0,-5.551115123125783e-17,0.0,1.0,2.7755575615628914e-17,1.0,5.551115123125783e-17,0.0,0.883404255319149,0.8204279069767442,1.9978333655749172,0
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5957446808510638,-0.09767441860465118,0.6824452017083079,0
0,0.0,1.3877787807814457e-17,1.0,0.0,0.9999999999999999,0.0,1.0,0.0,0.0,5.551115123125783e-17,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.551115123125783e-17,0.0,0.0,0.9999999999999999,0.0,0.0,0.9999999999999999,-5.551115123125783e-17,0.9999999999999999,0.0,0.0,5.551115123125783e-17,0.9999999999999999,-5.551115123125783e-17,0.7112462006079026,0.6384053156146179,1.5250750945457867,0
0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.10638297872340424,-0.26418604651162797,0.017693189089448114,0
0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07446808510638298,0.712093023255814,0.6302435975655125,0
0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.7755575615628914e-17,5.551115123125783e-17,1.0000000000000002,0.0,0.0,0.0,-0.44148936170212755,-0.4781395348837211,-0.30689647475484,0
0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.803191489361702,-0.11744186046511633,0.8636925045758246,0
0,1.0,0.0,5.551115123125783e-17,0.0,0.0,1.0,5.551115123125783e-17,1.0,-5.551115123125783e-17,5.551115123125783e-17,1.0,0.0,0.0,1.0,0.0,-5.551115123125783e-17,1.0,5.551115123125783e-17,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,-2.7755575615628914e-17,1.0,-5.551115123125783e-17,-0.39737171464330406,-0.9399452804377566,-0.35276829739053256,0
0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3723404255319149,-0.6637209302325583,-0.2894860195532804,0
0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.553191489361702,0.26255813953488366,0.9695019419353879,0
0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.9999999999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8670212765957448,0.2863953488372093,1.359654246216574,0
